barrio,distrito,nombre,estado_licencia,capacidad
fuente del berro,salamanca,BURGUER KING,Abierta,44.55
casco h.vallecas,villa de vallecas,TEJICA,Abierta,34.11
lista,salamanca,FRIKI,Abierta,3.0
el viso,chamartin,BURGER KING,Abierta,17.01
atocha,arganzuela,GAXTROBAR (SI TU ME DICES VEN),Abierta,31.03
los angeles,villaverde,GRAYMAR,Abierta,58.32
piovera,hortaleza,NORAY GOURMET,Abierta,9.8
fuente del berro,salamanca,CERVECERIA THOMAS,Abierta,21.13
lista,salamanca,ENTRE CÁCERES Y BADAJOZ,Abierta,2.75
ventas,ciudad lineal,EL GALEON,Abierta,15.08
recoletos,salamanca,HOSPES PUERTA DE ALCALÁ,Suspension temporal,128.88
arguelles,moncloa-aravaca,100 MONTADITOS,Abierta,71.53
lista,salamanca,RESTAURANTE MARTINETE,Abierta,64.75
vallehermoso,chamberi,RESTAURANTE WOWCRAB,Abierta,18.95
san juan bautista,ciudad lineal,EMYFA,Abierta,152.58
canillas,hortaleza,LAS MURALLAS,Abierta,54.0
trafalgar,chamberi,MATAKO,Abierta,18.72
vallehermoso,chamberi,LA SIRENA,Abierta,9.9
ibiza,retiro,FATHE PUR,Abierta,21.08
castellana,salamanca,MUESTRA,Abierta,3.57
palos de la frontera,arganzuela,BAR ALEGRE,Abierta,19.74
casco h.vicalvaro,vicalvaro,BAR PICOTEO PIZZA ANTES PUEBLO BÚLGARO,Abierta,27.2
castellana,salamanca,ALOHA POKE,Abierta,1.44
pacifico,retiro,RÃ³TULO NO INFORMADO,Abierta,72.36
comillas,carabanchel,TABERNA DE DOMINGUEZ,Abierta,22.5
chopera,arganzuela,BAR LA CABRERA /EX B Y D,Abierta,34.1
almagro,chamberi,D PIPO,Abierta,44.71
pueblo nuevo,ciudad lineal,CAFETERÍA JARRO CAFE,Abierta,9.44
arapiles,chamberi,87 MILLAS,Abierta,11.08
ibiza,retiro,SALINO,Abierta,30.87
delicias,arganzuela,BAR CAFETERIA LA CHASKA,Abierta,29.55
ibiza,retiro,100 MONTADITOS,Abierta,84.0
embajadores,centro,BAR ELD PEDAL,Abierta,18.54
portazgo,puente de vallecas,CERVECERIA LA PLAZA,Abierta,106.39
berruguete,tetuan,ARTESANOS DE LA HORCHATA,Abierta,23.36
gaztambide,chamberi,TIERRA BURRITOS,Abierta,26.7
gaztambide,chamberi,RIAÑO,Abierta,55.83
legazpi,arganzuela,100 MONTADITOS,Abierta,28.65
palos de la frontera,arganzuela,BAR LA AMISTAD,Abierta,13.14
universidad,centro,EL CHOCOLATE DE LORO,Abierta,4.68
palomas,hortaleza,MOEMIA TABERNA,Abierta,63.01
lista,salamanca,MESON ALCANTARA                                   ,Abierta,18.72
entrevias,puente de vallecas,CAFETERÍA CHARLY CERVECERÍA,Abierta,27.0
vista alegre,carabanchel,BAR LUCIMAR,Abierta,39.24
castellana,salamanca,LA BARRA DE LA BIENTIRADA,Abierta,36.61
lista,salamanca,RIO JORDAN,Abierta,21.85
valdefuentes,hortaleza,SHUKRAN,Abierta,62.69
acacias,arganzuela,FORMULA NIETO S BAR PORRAS Y CHURROS,Abierta,9.35
castilla,chamartin,PLAZA CAFE,Abierta,14.4
peña grande,fuencarral-el pardo,BAR EL 88,Abierta,50.0
universidad,centro,PIZZERIA SANDOS,Abierta,30.68
casco h.barajas,barajas,LA CANICA,Abierta,56.24
puerta del angel,latina,CAFE BAR EL PASO,Abierta,19.44
el pilar,fuencarral-el pardo,CAFETERIA HEMEYA,Abierta,47.77
hispanoamerica,chamartin,EL HORNO,Abierta,13.09
castellana,salamanca,DE PARTIDA,Abierta,49.75
ventas,ciudad lineal,BAR LOS CHIKYS,Abierta,25.16
ciudad jardin,chamartin,LA ESQUINA VINAROZ,Abierta,28.53
puerta del angel,latina,WATA NEGUI COMSUP,Abierta,38.88
arcos,san blas-canillejas,VINTAGE LOUNGE CLUB,Abierta,24.03
acacias,arganzuela,MIS TRADICIONES ,Abierta,53.58
las aguilas,latina,PANADERIA LA ALMUDENA,Abierta,27.36
pacifico,retiro,LA VIEJA ESTACION,Abierta,32.77
sol,centro,VENTA EL BUSCON,Abierta,6.48
valdefuentes,hortaleza,HAK,Abierta,77.04
sol,centro,DON CALAMAR,Abierta,75.0
peña grande,fuencarral-el pardo,EL RINCÓN DE LOS SIETE MARES,Abierta,25.92
goya,salamanca,RUNNING SUSHI,Abierta,26.14
arapiles,chamberi,PANDA WOK,Abierta,8.64
aluche,latina,TIENDA DE ALIMENTACION CON SALA DE INTERNET Y CLOCUTORIO,Abierta,10.98
canillejas,san blas-canillejas,CERVECERIA EL PARQUE,Abierta,50.85
san diego,puente de vallecas,BAR VEN Y VERÁS ( STELA ),Abierta,58.03
gaztambide,chamberi,COKIMA,Abierta,17.82
imperial,arganzuela,EL JARDIN DE PONTONES,Abierta,4.32
imperial,arganzuela,LA HERRADURA,Abierta,17.64
trafalgar,chamberi,DE MANILA,Abierta,18.96
ciudad jardin,chamartin,BENTON,Abierta,8.7
goya,salamanca,LA HERMOSILLA,Abierta,48.86
pradolongo,usera,EL OBRERO,Abierta,32.78
pinar del rey,hortaleza,BAR ARROYO CERVECERIA,Abierta,35.7
trafalgar,chamberi,BAR-RESTAURANTE,Abierta,5.76
recoletos,salamanca,TRH ESSENCE,Abierta,24.84
el salvador,san blas-canillejas,RESTAURANTE SORGO ROJO,Abierta,7.09
opañel,carabanchel,BAR MAJEAN,Abierta,14.22
valverde,fuencarral-el pardo,NEMRUT KEBAP,Abierta,53.67
hispanoamerica,chamartin,BAR ORSAI,Abierta,25.27
arapiles,chamberi,LA MALLORQUINA,Abierta,104.87
mirasierra,fuencarral-el pardo,"PITIS, CAFETERÍA ANPE",Abierta,517.74
lista,salamanca,SR,Abierta,25.91
castillejos,tetuan,MATCHA HOUSE,Abierta,47.89
castellana,salamanca,EL HOMBRE PEZ,Abierta,6.94
buenavista,carabanchel,BAR CAFETERIA DONER BEBAP,Abierta,11.7
gaztambide,chamberi,BAR CAFE  DOCTOR,Abierta,4.95
goya,salamanca,TABERNA LAS BOTAS,Abierta,36.26
canillas,hortaleza,EMPANADERIA FURANCHO,Abierta,5.75
prosperidad,chamartin,CAFETERIA RESTAURANTE CARLOS,Abierta,15.36
el viso,chamartin,NASSAU,Abierta,31.62
niño jesus,retiro,FOGG BAR,Abierta,47.88
quintana,ciudad lineal,BAR EL PASO DOBLE,Abierta,50.68
trafalgar,chamberi,CASA KOI,Abierta,13.5
sol,centro,MAESTRO CHURRERO,Abierta,13.5
cortes,centro,CERVECERIA CERVANTES,Abierta,5.58
piovera,hortaleza,TONY ROMA´S,Abierta,28.07
hispanoamerica,chamartin,CASA RICARDO,Abierta,59.52
hispanoamerica,chamartin,LOS PESCAITOS,Abierta,99.88
palacio,centro,LA PARADITA,Abierta,84.24
ventas,ciudad lineal,BAR CANADA,Abierta,20.88
simancas,san blas-canillejas,BAR LA TABERNA,Abierta,20.0
acacias,arganzuela,CAFETERIA BARRIO,Abierta,26.52
el pilar,fuencarral-el pardo,REAL ESTAMBUL SHISHA VAGUADA,Abierta,57.6
hispanoamerica,chamartin,"CHEF BLEU, S.L.",Abierta,28.38
pueblo nuevo,ciudad lineal,THIMPU 46,Abierta,14.04
almagro,chamberi,LIZARRÁN,Abierta,4.08
prosperidad,chamartin,ARANZAZU BOCADITOS,Abierta,24.76
portazgo,puente de vallecas,CERVECERIA AVILA,Abierta,40.0
amposta,san blas-canillejas,BAR LAS MARAVILLAS,Abierta,18.75
prosperidad,chamartin,CERVECERIA BERT,Abierta,9.36
lista,salamanca,SANXENXO,Abierta,41.55
simancas,san blas-canillejas,BAR RESTAURANTE,Abierta,32.87
valdefuentes,hortaleza,RESTAURANTE EL HOOD,Abierta,123.16
justicia,centro,LA CHUEQUITA,Abierta,19.44
hispanoamerica,chamartin,EL RINCON DE ANITA,Abierta,39.36
imperial,arganzuela,BURGER KING,Abierta,26.84
opañel,carabanchel,ALAZAN CAFETERIA,Abierta,9.72
valderrivas,vicalvaro,BAR LA TABERNA DE CHANA,Abierta,71.28
aluche,latina,LA DELICIOSA,Abierta,11.73
hispanoamerica,chamartin,BAR TAXI,Abierta,56.17
atocha,arganzuela,RESTAURANTE LA OFICINA,Abierta,22.68
orcasur,usera,BAR RESTAURANTE CASA MARIANO,Abierta,27.53
lista,salamanca,CAFETERIA SOÑA,Abierta,8.73
valdezarza,moncloa-aravaca,BAR CAFETERIA LOS POETAS,Abierta,34.68
mirasierra,fuencarral-el pardo,EL PESCADOR,Abierta,61.0
las aguilas,latina,BAR LOS XURROS,Abierta,25.6
