barrio,precio,numero_habitaciones,reseñas,servicios
universidad,122.0,2.0,285,"City skyline view,HDTV with Amazon Prime Video,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Electric stove,Hangers,Free washer  In unit,Heating,Shower gel,Private patio or balcony,Fire extinguisher,Shampoo,Ceiling fan,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Host greets you,Coffee maker,Drying rack for clothing,Dishwasher,Cleaning products,Free dryer  In unit,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
universidad,105.0,1.0,143,"Wifi,Kitchen,Essentials,Stove,Hot water,Paid parking off premises,Microwave,Hangers,Heating,TV,Washer,Patio or balcony,Noise decibel monitors on property,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Host greets you,Freezer,Coffee maker,Cleaning products,Babysitter recommendations,Cooking basics,Refrigerator,Dishes and silverware"
valdefuentes,281.0,4.0,140,"Wifi,TV with standard cable,Kitchen,Stove,Hot water,Iron,Microwave,Keypad,Hangers,Extra pillows and blankets,Clothing storage,Portable fans,Heating,Carbon monoxide alarm,Washer,Fire extinguisher,Elevator,Paid parking on premises,Smoke alarm,Hair dryer,Bed linens,Piano,Coffee maker,Free street parking,Dishes and silverware,Dishwasher,Oven,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
costillares,171.0,0.0,0,"Wifi,Kitchen,Smart lock,Hot water,Iron,Hangers,Clothing storage,Dining table,Heating,Shower gel,Washer,Shampoo,Body soap,Hair dryer,Bed linens,Air conditioning,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Self check-in,Dedicated workspace,Room-darkening shades,Refrigerator,Dishes and silverware"
embajadores,140.0,2.0,134,"First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Hangers,Clothing storage,Dining table,Heating,Toaster,Private patio or balcony,Hot water kettle,TV,Washer,Fire extinguisher,Shampoo,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Coffee maker,Dishes and silverware,Oven,Cooking basics,Wine glasses,Refrigerator,Air conditioning"
ibiza,141.0,1.0,0,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
palacio,107.0,1.0,3,"Wifi,Window AC unit,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Free washer  In unit,Heating,Toaster,Hot water kettle,TV,Elevator,Fire extinguisher,Patio or balcony,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Host greets you,Coffee maker,Dishwasher,Oven,Dedicated workspace,Refrigerator,Dishes and silverware,Single level home"
hispanoamérica,95.0,1.0,35,"Outlet covers,Books and reading material,Wifi,Window AC unit,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid street parking off premises,Electric stove,40 inch HDTV with standard cable,Hangers,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Carbon monoxide alarm,Elevator,Shampoo,Ceiling fan,Smoke alarm,Wine glasses,Radiant heating,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Laundromat nearby,Drying rack for clothing,Dishwasher,Private entrance,Cleaning products,Coffee maker: Nespresso,Oven,Babysitter recommendations,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
quintana,60.0,2.0,4,"Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Elevator,Patio or balcony,Shampoo,Body soap,Hair dryer,Bed linens,Air conditioning,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Dishwasher,Oven,Wine glasses,Refrigerator,Dishes and silverware"
embajadores,56.0,1.0,6,"Super body soap,Wifi,AC - split type ductless system,Kitchen,Essentials,Hot water,Hangers,Extra pillows and blankets,Private backyard  Fully fenced,Heating,Super shampoo,Clothing storage: wardrobe,Shower gel,Private patio or balcony,Courtyard view,HDTV,Bed linens,Outdoor dining area,Coffee maker,Cleaning products,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware,Outdoor furniture"
embajadores,70.0,1.0,166,"Hangers,Extra pillows and blankets,Heating,Wifi,Hair dryer,Bed linens,Smoking allowed,Pocket wifi,Kitchen,TV,Washer,Essentials,Hot water,Iron,Air conditioning"
embajadores,108.0,2.0,10,"Wifi,Kitchenette,Essentials,Stove,Hot water,Iron,Keypad,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Shampoo,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Dishes and silverware,Private entrance,Coffee maker: Nespresso,Self check-in,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
sol,165.0,1.0,24,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Keypad,Dining table,Heating,Toaster,Shower gel,TV,Washer,Shampoo,Hair dryer,Bed linens,Air conditioning,Coffee maker,Self check-in,Dishes and silverware,Crib"
puerta del angel,135.0,1.0,47,"Trash compactor,Bidet,Ethernet connection,Books and reading material,Baby bath - available upon request,First aid kit,Wifi,Kitchen,Essentials,Mini fridge,Smart lock,Hot water,Iron,LG refrigerator,Paid street parking off premises,Microwave,Electric stove,Hangers,Extra pillows and blankets,Dining table,Toaster,Baking sheet,Shower gel,Hot water kettle,Rice maker,TV,Washer,Safe,Fire extinguisher,Coffee maker: espresso machine,Tigi o molton brown body soap,Stainless steel oven,Wine glasses,Radiant heating,Long term stays allowed,Hair dryer,Bed linens,Coffee,Pets allowed,Indoor fireplace,Freezer,Laundromat nearby,Blender,Tigi o molton brown shampoo,Drying rack for clothing,Dishes and silverware,Clothing storage: walk-in closet,Bread maker,High chair - available upon request,Window guards,Dishwasher,Cleaning products,Private entrance,Self check-in,Childrens dinnerware,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Air conditioning,Single level home"
universidad,141.0,2.0,42,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Dining table,Shower gel,Lockbox,TV,Washer,Central heating,Elevator,Shampoo,Wine glasses,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Dishwasher,Cleaning products,Oven,Self check-in,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
palacio,112.0,1.0,136,"City skyline view,Books and reading material,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Teka electric stove,Microwave,Hangers,Fast wifi  298 Mbps,Dining table,Free washer  In unit,Heating,Toaster,Hot water kettle,Elevator,Courtyard view,Paid parking on premises,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Oven,30 inch HDTV with standard cable,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
san diego,37.0,1.0,20,"Bidet,Ethernet connection,Books and reading material,First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,42 inch HDTV with Amazon Prime Video, HBO Max, Netflix, standard cable,Free washer  In unit,Dining table,Toaster,Shower gel,Fire extinguisher,Lock on bedroom door,Shampoo,Free parking on premises,Wine glasses,Radiant heating,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Pets allowed,Host greets you,Freezer,Laundromat nearby,Free street parking,Drying rack for clothing,Clothing storage: dresser,Cleaning products,Coffee maker: Nespresso,Oven,Childrens dinnerware,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
sol,203.0,2.0,237,"Exercise equipment,Books and reading material,First aid kit,Wifi,Central air conditioning,TV with standard cable,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Electric stove,Hangers,Extra pillows and blankets,Free washer  In unit,Heating,Toaster,Private patio or balcony,Hot water kettle,Carbon monoxide alarm,Elevator,Fire extinguisher,Shampoo,Ceiling fan,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Blender,Drying rack for clothing,Dishwasher,Oven,Free dryer  In unit,Dedicated workspace,Coffee maker: drip coffee maker, Nespresso,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
universidad,19.0,1.0,10,"First aid kit,Wifi,Kitchenette,Essentials,Smart lock,Iron,Luggage dropoff allowed,Microwave,Hangers,Dining table,Toaster,Portable heater,Shower gel,Elevator,Fire extinguisher,Shampoo,Exterior security cameras on property,Long term stays allowed,Bed linens,Air conditioning,Coffee maker,Cleaning products,Self check-in,Dedicated workspace,Refrigerator,Dishes and silverware"
trafalgar,138.0,3.0,0,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,Patio or balcony,High chair,Shampoo,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
los rosales,70.0,1.0,21,"Ethernet connection,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Pool,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,TV,Washer,Elevator,Backyard,Free parking on premises,Long term stays allowed,Bed linens,Pets allowed,Freezer,Coffee maker,Drying rack for clothing,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
palacio,279.0,1.0,126,"EV charger,Trash compactor,Sound system,Books and reading material,First aid kit,Wifi,Central air conditioning,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Hangers,Extra pillows and blankets,Portable fans,DEDIETRICH   GAGGNEAU stainless steel induction stove,Dining table,Free washer  In unit,Heating,Toaster,Baking sheet,Shower gel,Hot water kettle,Private patio or balcony,Carbon monoxide alarm,Safe,Fire extinguisher,Coffee maker: espresso machine,Backyard,Shampoo,Record player,Ceiling fan,Paid parking on premises,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,TV with standard cable, Netflix,Host greets you,Freezer,Laundromat nearby,Blender,Drying rack for clothing,Conditioner,Clothing storage: walk-in closet and closet,Cleaning products,Dedicated workspace,DEDIETRICH- GAGGNEAU stainless steel oven,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware,Single level home"
embajadores,87.0,0.0,19,"Dishes and silverware,Hangers,Clothing storage,Body soap,Heating,Hair dryer,Bed linens,Wifi,Toaster,Kitchen,TV,Hot water,Coffee maker,Refrigerator,Air conditioning,Shampoo"
cortes,39.0,1.0,48,"First aid kit,Breakfast,Wifi,Kitchen,Essentials,Stove,Hot water,Paid parking off premises,Microwave,Hangers,Heating,Shower gel,TV,Elevator,Fire extinguisher,Shampoo,Bed linens,Coffee maker,Dishwasher,Oven,Smoking allowed,Cooking basics,Refrigerator,Dishes and silverware"
castilla,80.0,0.0,0,"First aid kit,Wifi,Kitchen,Iron,Microwave,Heating,Toaster,Hot water kettle,TV,Washer,Safe,Fire extinguisher,Noise decibel monitors on property,Shampoo,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Dryer,Dishes and silverware,Dishwasher,Cleaning products,Oven,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Air conditioning,Crib"
sol,89.0,0.0,291,"First aid kit,Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Hangers,Heating,TV,Washer,Elevator,Shampoo,Hair dryer,Bed linens,Host greets you,Coffee maker,Oven,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
universidad,80.0,1.0,149,"Wifi,Kitchen,TV,Essentials,Cooking basics,Host greets you,Refrigerator,Dishes and silverware"
concepción,84.0,1.0,50,"First aid kit,Wifi,Essentials,Hot water,Iron,Hangers,Portable fans,Portable heater,Shower gel,Hot water kettle,Outdoor shower,Shared backyard  Not fully fenced,Fire extinguisher,Outdoor playground,Shampoo,Free parking on premises,Body soap,Shared pool,Bed linens,Host greets you,Outdoor dining area,Coffee maker,Babysitter recommendations,Room-darkening shades"
almagro,116.0,1.0,6,"Smoke alarm,First aid kit,Wifi,Kitchen,TV,Washer,Fire extinguisher,Host greets you,Refrigerator,Dishes and silverware"
gaztambide,39.0,1.0,2,"Books and reading material,Wifi,Induction stove,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Toaster,Shower gel,Hot water kettle,TV,Washer,Fire extinguisher,Elevator,Lock on bedroom door,Shampoo,Paid parking lot on premises,Stainless steel oven,Wine glasses,Radiant heating,Body soap,Clothing storage: wardrobe and dresser,Coffee,Coffee maker: espresso machine, Nespresso,Host greets you,Free street parking,Conditioner,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
bellas vistas,42.0,1.0,33,"Wifi,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Portable fans,Free washer  In unit,Toaster,Portable heater,TV,Patio or balcony,Shampoo,Long term stays allowed,Body soap,Bathtub,Bed linens,Host greets you,Heating - split type ductless system,Coffee maker,Drying rack for clothing,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
prosperidad,10000.0,1.0,13,"Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Keypad,Hangers,Extra pillows and blankets,Dining table,Shower gel,TV,Washer,Carbon monoxide alarm,Elevator,Patio or balcony,Shampoo,Ceiling fan,Smoke alarm,Wine glasses,Radiant heating,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Dryer,Dishwasher,Coffee maker: Nespresso,Oven,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
universidad,100.0,1.0,97,"Outlet covers,Mercadona conditioner,City skyline view,First aid kit,Wifi,Central air conditioning,Kitchen,Essentials,Mini fridge,Hot water,Iron,Microwave,Electric stove,Portable fans,Toaster,Shower gel,Hot water kettle,Mercadona  body soap,Outdoor shower,TV,Carbon monoxide alarm,Fire extinguisher,Elevator,Lockbox,Paid parking garage off premises,Smoke alarm,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Freezer,Heating - split type ductless system,Coffee maker,Mercadona  shampoo,Free washer,Private entrance,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
goya,60.0,14.0,15,"Wifi,Essentials,Mini fridge,Hot water,Iron,Microwave,Hangers,Portable fans,Heating,Lockbox,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Ceiling fan,Long term stays allowed,Hair dryer,Bed linens,Dryer,Drying rack for clothing,Smoking allowed,Self check-in,Dedicated workspace,Room-darkening shades,Refrigerator"
universidad,342.0,3.0,125,"42 inch HDTV with standard cable,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Keypad,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Pack n play/Travel crib,Heating,Toaster,Shower gel,Hot water kettle,Carbon monoxide alarm,Safe,Fire extinguisher,Elevator,High chair,Noise decibel monitors on property,Shampoo,Smoke alarm,Wine glasses,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Drying rack for clothing,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Self check-in,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib"
palos de moguer,74.0,1.0,136,"Wifi,Kitchen,Essentials,Stove,Hot water,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Portable fans,Heating,Shower gel,Private patio or balcony,TV,Elevator,Shampoo,Long term stays allowed,Body soap,Bed linens,Host greets you,Laundromat nearby,Private entrance,Cleaning products,Oven,Smoking allowed,Dedicated workspace,Cooking basics,Pocket wifi,Refrigerator,Dishes and silverware"
embajadores,125.0,1.0,327,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Private patio or balcony,TV,Elevator,Fire extinguisher,Shampoo,Paid parking on premises,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Host greets you,Coffee maker,Private entrance,Cooking basics,Refrigerator,Dishes and silverware"
palacio,105.0,1.0,8,"Wifi,Hot water,Iron,Microwave,Hangers,Smeg  refrigerator,Heating,Toaster,Private patio or balcony,Hot water kettle,Lockbox,TV,Washer,Paid parking garage off premises,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Coffee,Pets allowed,Drying rack for clothing,Clothing storage: walk-in closet,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Coffee maker: drip coffee maker,Room-darkening shades,Air conditioning"
palos de moguer,103.0,4.0,201,"Wifi,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Dining table,Heating,Toaster,Clothing storage: wardrobe,Shower gel,Hot water kettle,TV,Washer,Elevator,Patio or balcony,Hair dryer,Bed linens,Pets allowed,Air conditioning,Freezer,Coffee maker,Laundromat nearby,Cleaning products,Self check-in,Cleaning available during stay,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
cuatro caminos,175.0,1.0,4,"Ethernet connection,City skyline view,Kitchen,Essentials,Smart lock,Hot water,Microwave,Extra pillows and blankets,Heating,Elevator,Washer,Patio or balcony,Fast wifi  500 Mbps,Shampoo,Hair dryer,Air conditioning,Coffee maker,Self check-in,Dedicated workspace,Refrigerator,Dishes and silverware,Crib,Single level home"
embajadores,49.0,1.0,198,"City skyline view,Books and reading material,Childrens books and toys,Clothing storage: closet,Fast wifi  215 Mbps,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Free washer  In unit,Heating,Shower gel,Lockbox,Courtyard view,Shampoo,Paid parking on premises,Long term stays allowed,Body soap,Hair dryer,Bed linens,HDTV with Amazon Prime Video, HBO Max, Netflix, standard cable,Coffee maker,Drying rack for clothing,Dishes and silverware,Conditioner,Dishwasher,Cleaning products,Oven,Self check-in,Babysitter recommendations,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Piano"
palacio,1247.0,2.0,0,"Wifi,Kitchen,Stove,Hot water,Microwave,Hangers,Extra pillows and blankets,Heating,TV,Washer,Shampoo,Hair dryer,Bed linens,Air conditioning,Coffee maker,Oven,Cooking basics,Refrigerator,Dishes and silverware"
comillas,29.0,1.0,12,"Hangers,Long term stays allowed,Body soap,Wifi,Bed linens,Portable heater,Shower gel,Kitchen,Essentials,Washer,Cooking basics,Host greets you,Hot water,Iron,Refrigerator,Dishes and silverware,Microwave"
ciudad universitaria,27.0,1.0,22,"First aid kit,Wifi,Kitchen,Essentials,Stove,Shared patio or balcony,Hot water,Iron,Microwave,Hangers,Private backyard  Fully fenced,Free washer  In unit,Heating,Indoor fireplace: wood-burning,BBQ grill,Hair dryer,Air conditioning,Host greets you,Outdoor dining area,Coffee maker,Free street parking,Dryer,HDTV with standard cable, Amazon Prime Video, Netflix,Oven,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
cuatro caminos,73.0,1.0,64,"Trash compactor,Wifi,Kitchen,Essentials,Mini fridge,Stove,Hot water,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Toaster,Shower gel,Hot water kettle,Shampoo,Long term stays allowed,Body soap,Bathtub,Bed linens,Air conditioning,Host greets you,Heating - split type ductless system,Laundromat nearby,Cleaning products,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
embajadores,112.0,1.0,20,"Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Clothing storage,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Drying rack for clothing,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Self check-in,Free dryer  In unit,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
cortes,117.0,1.0,380,"City skyline view,First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Electric stove,Hangers,Dining table,Free washer  In unit,Heating,Shower gel,Hot water kettle,Private patio or balcony,TV,Carbon monoxide alarm,Fire extinguisher,Elevator,Lockbox,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee maker,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
justicia,186.0,2.0,264,"Wifi,AC - split type ductless system,Kitchen,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Free washer  In unit,Pack n play/Travel crib,Heating,Private patio or balcony,Elevator,Shampoo,HDTV with Netflix,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Host greets you,Coffee maker,Dryer,Dishwasher,Oven,Cooking basics,Pocket wifi,Refrigerator,Dishes and silverware"
sol,110.0,1.0,71,"First aid kit,Wifi,Clothing storage: closet,Essentials,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,22 inch HDTV,Extra pillows and blankets,Heating,Shower gel,Hot water kettle,Private patio or balcony,Safe,Fire extinguisher,Shampoo,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Host greets you,Window guards,Cleaning available during stay,Dedicated workspace,Room-darkening shades,Air conditioning"
embajadores,86.0,0.0,222,"Books and reading material,First aid kit,Clothing storage: closet,Kitchen,Essentials,Hot water,Paid street parking off premises,Hangers,Extra pillows and blankets,Portable fans,Dining table,Heating,Baking sheet,Shower gel,Hot water kettle,Shampoo,43 inch HDTV,Saivod oven,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Laundromat nearby,Blender,Saivod refrigerator,Drying rack for clothing,Saivod induction stove,Cleaning products,Fast wifi  222 Mbps,Coffee maker: Nespresso,Cooking basics,Room-darkening shades,Dishes and silverware"
berruguete,18.0,1.0,6,"Bidet,Ethernet connection,Wifi,TV with standard cable,Kitchen,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Washer,Fire extinguisher,Paid parking lot on premises,Stainless steel oven,Exterior security cameras on property,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Clothing storage: closet and dresser,Dishwasher,Beach access  Beachfront,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
palacio,128.0,0.0,13,"First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Keypad,Hangers,Pack n play/Travel crib,TV,Washer,Fire extinguisher,Shampoo,Exterior security cameras on property,Long term stays allowed,Hair dryer,Pets allowed,Coffee maker,Dishes and silverware,Private entrance,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning,Crib"
embajadores,118.0,1.0,126,"Wifi,Kitchen,Essentials,Smart lock,Iron,Microwave,Heating,TV,Washer,Shampoo,Hair dryer,Bed linens,Air conditioning,Coffee maker,Dishwasher,Oven,Self check-in,Cooking basics,Refrigerator,Dishes and silverware"
goya,131.0,3.0,12,"First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Carbon monoxide alarm,Elevator,Shampoo,Smoke alarm,Paid standalone high chair - available upon request,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Pets allowed,Host greets you,Freezer,Coffee maker,Blender,Dishes and silverware,Dishwasher,Cleaning products,Oven,Free dryer  In unit,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Single level home"
embajadores,189.0,2.0,34,"Ethernet connection,First aid kit,Breakfast,Wifi,Garden view,AC - split type ductless system,Kitchen,Essentials,Mini fridge,Smart lock,Hot water,Iron,Microwave,Paid washer,Dining table,Pack n play/Travel crib,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,TV,Courtyard view,Elevator,Paid parking garage off premises,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Private backyard,Freezer,Laundromat nearby,Coffee maker: drip coffee maker, french press, Nespresso,Private entrance,Paid parking garage on premises  60 spaces,Self check-in,Childrens dinnerware,Dedicated workspace,Paid dryer,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib"
cortes,178.0,1.0,133,"Bidet,Central air conditioning,Clothing storage: closet,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Hangers,Dining table,Free washer  In unit,Toaster,Hot water kettle,TV,Elevator,Central heating,Smoke alarm,Body soap,Bathtub,Hair dryer,Fast wifi  307 Mbps,Coffee maker,Blender,Drying rack for clothing,Conditioner,Dishwasher,Oven,Self check-in,Free dryer  In unit,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
universidad,151.0,3.0,2,"Hangers,Smoke alarm,Exterior security cameras on property,First aid kit,Heating,Wifi,Hair dryer,TV,Essentials,Fire extinguisher,Elevator,Air conditioning,Shampoo"
sol,139.0,2.0,65,"City skyline view,Wifi,Clothing storage: closet,Induction stove,AC - split type ductless system,Kitchen,Smart lock,Hot water,Iron,Microwave,Hangers,Coffee maker: pour-over coffee,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Private patio or balcony,TV,Central heating,Body soap,Hair dryer,Bed linens,Freezer,Drying rack for clothing,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture"
embajadores,71.0,1.0,118,"Paid clamp on table seat high chair - available upon request,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Gas stove,Microwave,Hangers,43 inch HDTV with standard cable,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Fire extinguisher,Paid parking garage off premises,Shampoo,Wine glasses,Long term stays allowed,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Pets allowed,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib,Single level home"
embajadores,73.0,1.0,8,"Breakfast,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,TV,Washer,Elevator,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Air conditioning,Host greets you,Coffee maker,Window guards,Oven,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
delicias,145.0,3.0,16,"Wifi,Central air conditioning,AC - split type ductless system,Kitchen,Essentials,Smart lock,Iron,Hangers,Heating,TV,Washer,Portable air conditioning,Shampoo,Hair dryer,Pets allowed,Coffee maker,Private entrance,Self check-in,Dedicated workspace,Cooking basics,Refrigerator"
