barrio,precio,numero_habitaciones,reseñas,servicios
embajadores,40.0,1.0,269,"First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Microwave,Portable fans,Baking sheet,Shower gel,Hot water kettle,TV,Elevator,Fire extinguisher,Lock on bedroom door,Shampoo,Sanex body soap,Radiant heating,Hair dryer,Bed linens,Coffee,Pantenne conditioner,Host greets you,Freezer,Blender,Cleaning products,Dedicated workspace,Cooking basics,Coffee maker: drip coffee maker,Refrigerator,Dishes and silverware"
universidad,434.0,4.0,136,"32 inch HDTV,First aid kit,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Keypad,Hangers,Extra pillows and blankets,Clothing storage,Portable fans,Dining table,Free washer  In unit,Pack n play/Travel crib,Toaster,Shower gel,Hot water kettle,Central heating,Fire extinguisher,Coffee maker: espresso machine,High chair,Shampoo,Ceiling fan,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Freezer,Fast wifi  276 Mbps,Laundromat nearby,Drying rack for clothing,Window guards,Dishwasher,Cleaning products,Oven,Self check-in,Childrens dinnerware,Room-darkening shades,Refrigerator,Dishes and silverware,Crib"
buenavista,84.0,2.0,89,"First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,TV,Washer,Fire extinguisher,Free parking on premises,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Free street parking,Drying rack for clothing,Dishes and silverware,Clothing storage: walk-in closet,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Smoking allowed,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Air conditioning"
el viso,180.0,1.0,0,"Board games,Hermes shampoo,Hermes conditioner,Books and reading material,Crib - always at the listing,First aid kit,Hermes body soap,Wifi,Breakfast,Garden view,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Hangers,Extra pillows and blankets,Children's playroom,Dining table,Pack n play/Travel crib,Toaster,Baby bath - always at the listing,Baking sheet,TV,Washer,Clamp on table seat high chair - always at the listing,Central heating,Carbon monoxide alarm,Elevator,Private living room,Paid parking on premises,Wine glasses,Exterior security cameras on property,Long term stays allowed,Hair dryer,Bed linens,Coffee,Changing table - always at the listing,Drying rack for clothing,Dishes and silverware,Dishwasher,Baby monitor - always at the listing,Cleaning products,Oven,Childrens books and toys for ages 0-2 years old and 2-5 years old,Free dryer  In unit,Childrens dinnerware,Babysitter recommendations,Dedicated workspace,Cooking basics,Baby safety gates,Cleaning available during stay,Room-darkening shades,Pocket wifi,Air conditioning"
recoletos,385.0,3.0,102,"Clothing storage: closet and wardrobe,City skyline view,First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Hangers,Extra pillows and blankets,Outdoor shower,TV,Washer,Paid parking on premises,Radiant heating,Hair dryer,Bed linens,Coffee maker,Dishes and silverware,Free dryer  In unit,Room-darkening shades,Refrigerator,Air conditioning"
palacio,600.0,1.0,0,"Hangers,Extra pillows and blankets,Smoke alarm,Wifi,Bed linens,TV,Essentials,Fire extinguisher,Elevator,Hot water,Lock on bedroom door"
universidad,112.0,1.0,40,"Books and reading material,Sound system with Bluetooth and aux,Childrens books and toys,Wifi,Kitchen,Essentials,Hot water,Iron,Hangers,Extra pillows and blankets,Free washer  In unit,Heating,Shower gel,Shampoo,Record player,HDTV with Netflix,Smoke alarm,Coffee,Coffee maker,Dryer,Drying rack for clothing,Dishes and silverware,Clothing storage: closet and dresser,Cleaning products,Arcade games,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
vista alegre,68.0,1.0,5,"First aid kit,Wifi,Kitchen,Essentials,Mini fridge,Stove,Smart lock,Hot water,Luggage dropoff allowed,Microwave,Hangers,Dining table,Heating,Toaster,Clothing storage: wardrobe,Shower gel,Hot water kettle,TV,Carbon monoxide alarm,Fire extinguisher,High chair,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Free street parking,Dishes and silverware,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Crib"
ciudad jardín,49.0,1.0,62,"First aid kit,Wifi,Kitchen,Essentials,Hot water,Iron,Hangers,Extra pillows and blankets,Clothing storage: wardrobe,Shower gel,Washer,Central heating,Fire extinguisher,Lock on bedroom door,Shampoo,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Drying rack for clothing,Cleaning products,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
palacio,113.0,1.0,0,"Dishes and silverware,Hangers,Smoke alarm,Radiant heating,Wifi,Hair dryer,Iron,Shower gel,Carbon monoxide alarm,Essentials,Room-darkening shades,Fire extinguisher,Hot water,Culaquiera body soap,Air conditioning"
